9:24:54 PM: Executing task ':Application.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Application.main()
Rune_0 created with Fire:8236, Earth:2745, Water:4900, Dark:99807, Light:15881
Rune_120 created with Fire:4336, Earth:3831, Water:7257, Dark:4784069, Light:15424
Rune_121 created with Fire:5187, Earth:2087, Water:4071, Dark:4827804, Light:11345
Rune_122 created with Fire:5089, Earth:3718, Water:5733, Dark:4868344, Light:14540
Rune_123 created with Fire:7061, Earth:4192, Water:3807, Dark:4908364, Light:15060
Rune_124 created with Fire:1840, Earth:2071, Water:4986, Dark:4954547, Light:8897
Rune_125 created with Fire:5585, Earth:7044, Water:10712, Dark:4986286, Light:23341
Rune_126 created with Fire:6716, Earth:6091, Water:2826, Dark:5025733, Light:15633
Rune_127 created with Fire:7350, Earth:7155, Water:5495, Dark:5060813, Light:20000
Rune_128 created with Fire:7431, Earth:5850, Water:2860, Dark:5099752, Light:16141
Rune_129 created with Fire:6453, Earth:9378, Water:3452, Dark:5135549, Light:19283
Rune_130 created with Fire:5521, Earth:7365, Water:5613, Dark:5172130, Light:18499
Rune_131 created with Fire:8015, Earth:3270, Water:7015, Dark:5208910, Light:18300
Rune_132 created with Fire:8622, Earth:10502, Water:6505, Dark:5238361, Light:25629
Rune_133 created with Fire:8173, Earth:3301, Water:7852, Dark:5274115, Light:19326
Rune_134 created with Fire:6055, Earth:5190, Water:6849, Dark:5311101, Light:18094
Rune_135 created with Fire:2886, Earth:8465, Water:4031, Dark:5350799, Light:15382
Rune_136 created with Fire:3895, Earth:2762, Water:4472, Dark:5394750, Light:11129
Rune_137 created with Fire:10508, Earth:5232, Water:6163, Dark:5427927, Light:21903
Rune_138 created with Fire:9290, Earth:2880, Water:10137, Dark:5460700, Light:22307
Rune_139 created with Fire:5844, Earth:4690, Water:5793, Dark:5499453, Light:16327
Rune_140 created with Fire:3426, Earth:4315, Water:7737, Dark:5539055, Light:15478
Rune_141 created with Fire:5031, Earth:5050, Water:7499, Dark:5576555, Light:17580
Rune_142 created with Fire:6467, Earth:7256, Water:6305, Dark:5611607, Light:20028
Rune_143 created with Fire:6222, Earth:5685, Water:3882, Dark:5650898, Light:15789
Rune_144 created with Fire:1494, Earth:7520, Water:5400, Dark:5691564, Light:14414
Rune_145 created with Fire:6716, Earth:5062, Water:5406, Dark:5729460, Light:17184
Rune_146 created with Fire:6698, Earth:10183, Water:2805, Dark:5764854, Light:19686
Rune_147 created with Fire:4723, Earth:3734, Water:5614, Dark:5805863, Light:14071
Rune_148 created with Fire:4233, Earth:5972, Water:6729, Dark:5844009, Light:16934
Rune_149 created with Fire:5759, Earth:4991, Water:5145, Dark:5883194, Light:15895
Rune_150 created with Fire:5597, Earth:7367, Water:6767, Dark:5918543, Light:19731
Rune_151 created with Fire:2697, Earth:812, Water:2382, Dark:5967732, Light:5891
Rune_152 created with Fire:3240, Earth:1944, Water:4196, Dark:6013432, Light:9380
Rune_153 created with Fire:2568, Earth:3857, Water:4133, Dark:6057954, Light:10558
Rune_154 created with Fire:7227, Earth:7227, Water:4632, Dark:6093948, Light:19086
Rune_155 created with Fire:3451, Earth:5134, Water:3867, Dark:6136576, Light:12452
Rune_156 created with Fire:4862, Earth:7292, Water:9254, Dark:6170248, Light:21408
Rune_157 created with Fire:5375, Earth:3464, Water:3849, Dark:6212640, Light:12688
Rune_158 created with Fire:2096, Earth:3742, Water:4089, Dark:6257793, Light:9927
Rune_159 created with Fire:7680, Earth:7241, Water:10710, Dark:6287242, Light:25631
Rune_160 created with Fire:4337, Earth:6729, Water:5723, Dark:6325533, Light:16789
Rune_161 created with Fire:1260, Earth:5272, Water:6837, Dark:6367244, Light:13369
Rune_162 created with Fire:4180, Earth:5862, Water:6564, Dark:6405718, Light:16606
Rune_163 created with Fire:5212, Earth:9380, Water:3592, Dark:6442614, Light:18184
Rune_164 created with Fire:2551, Earth:5212, Water:6333, Dark:6483598, Light:14096
Rune_165 created with Fire:3940, Earth:6936, Water:3636, Dark:6524166, Light:14512
Rune_166 created with Fire:2292, Earth:5121, Water:4168, Dark:6567665, Light:11581
Rune_167 created with Fire:7085, Earth:4439, Water:3282, Dark:6607939, Light:14806
Rune_168 created with Fire:5108, Earth:5932, Water:6352, Dark:6645627, Light:17392
Rune_169 created with Fire:10272, Earth:6005, Water:6839, Dark:6677591, Light:23116
Rune_170 created with Fire:4307, Earth:8478, Water:11591, Dark:6708295, Light:24376
Rune_171 created with Fire:5628, Earth:4073, Water:4707, Dark:6748967, Light:14408
Rune_172 created with Fire:6771, Earth:3153, Water:7320, Dark:6786803, Light:17244
Rune_173 created with Fire:8127, Earth:2667, Water:3567, Dark:6827522, Light:14361
Rune_174 created with Fire:5749, Earth:10117, Water:9094, Dark:6857642, Light:24960
Rune_175 created with Fire:8706, Earth:6570, Water:5541, Dark:6891905, Light:20817
Rune_176 created with Fire:7305, Earth:4095, Water:6171, Dark:6929414, Light:17571
Rune_177 created with Fire:5886, Earth:3247, Water:6851, Dark:6968510, Light:15984
Rune_178 created with Fire:8480, Earth:6810, Water:6439, Dark:7001861, Light:21729
Rune_179 created with Fire:3938, Earth:2908, Water:6981, Dark:7043114, Light:13827
Rune_180 created with Fire:3847, Earth:3195, Water:5610, Dark:7085542, Light:12652
Rune_181 created with Fire:3118, Earth:3418, Water:7078, Dark:7127008, Light:13614
Rune_182 created with Fire:7096, Earth:7778, Water:5858, Dark:7161356, Light:20732
Rune_183 created with Fire:5140, Earth:2026, Water:2952, Dark:7206318, Light:10118
Rune_184 created with Fire:2614, Earth:7868, Water:6400, Dark:7244516, Light:16882
Rune_185 created with Fire:8378, Earth:7022, Water:1374, Dark:7282822, Light:16774
Rune_186 created with Fire:6480, Earth:7005, Water:6483, Dark:7317934, Light:19968
Rune_187 created with Fire:8893, Earth:4895, Water:7536, Dark:7351690, Light:21324
Rune_188 created with Fire:6751, Earth:1472, Water:8200, Dark:7390347, Light:16423
Rune_189 created with Fire:5040, Earth:5181, Water:5961, Dark:7429245, Light:16182
Rune_190 created with Fire:6474, Earth:3094, Water:2826, Dark:7471931, Light:12394
Rune_191 created with Fire:3051, Earth:2629, Water:6203, Dark:7515128, Light:11883
Rune_192 created with Fire:5310, Earth:8736, Water:3670, Dark:7552492, Light:17716
Rune_193 created with Fire:5552, Earth:5366, Water:7241, Dark:7589413, Light:18159
Rune_194 created with Fire:4100, Earth:2942, Water:3642, Dark:7633809, Light:10684
Rune_195 created with Fire:6976, Earth:6126, Water:3467, Dark:7672320, Light:16569
Rune_196 created with Fire:6217, Earth:4059, Water:7093, Dark:7710031, Light:17369
Rune_197 created with Fire:3024, Earth:3077, Water:3061, Dark:7755949, Light:9162
Rune_198 created with Fire:5518, Earth:6175, Water:3874, Dark:7795462, Light:15567
Rune_199 created with Fire:8131, Earth:7652, Water:6116, Dark:7828643, Light:21899
Rune_200 created with Fire:4217, Earth:6606, Water:2127, Dark:7870773, Light:12950
Rune_201 created with Fire:10098, Earth:3961, Water:7531, Dark:7904263, Light:21590
Rune_202 created with Fire:4096, Earth:5878, Water:5058, Dark:7944311, Light:15032
Rune_203 created with Fire:9362, Earth:3003, Water:6845, Dark:7980181, Light:19210
Rune_204 created with Fire:5479, Earth:5111, Water:5767, Dark:8018904, Light:16357
Rune_205 created with Fire:6702, Earth:4780, Water:3429, Dark:8059073, Light:14911
Rune_206 created with Fire:4532, Earth:6086, Water:2991, Dark:8100544, Light:13609
Rune_207 created with Fire:3644, Earth:10078, Water:7032, Dark:8134870, Light:20754
Rune_208 created with Fire:2597, Earth:5812, Water:7837, Dark:8173704, Light:16246
Rune_209 created with Fire:4931, Earth:3137, Water:6652, Dark:8214064, Light:14720
Rune_210 created with Fire:4986, Earth:2118, Water:6624, Dark:8255416, Light:13728
Rune_211 created with Fire:2416, Earth:6876, Water:4604, Dark:8296600, Light:13896
Rune_212 created with Fire:7746, Earth:7922, Water:8476, Dark:8327536, Light:24144
Rune_213 created with Fire:7080, Earth:5445, Water:7320, Dark:8362771, Light:19845
Rune_214 created with Fire:3567, Earth:5962, Water:7578, Dark:8400744, Light:17107
Rune_215 created with Fire:7679, Earth:6845, Water:7425, Dark:8433875, Light:21949
Rune_216 created with Fire:4098, Earth:5332, Water:2994, Dark:8476531, Light:12424
Rune_217 created with Fire:3290, Earth:4438, Water:4234, Dark:8519649, Light:11962
Rune_218 created with Fire:2254, Earth:5186, Water:7452, Dark:8559837, Light:14892
Rune_219 created with Fire:4006, Earth:5289, Water:3629, Dark:8601993, Light:12924
Rune_220 created with Fire:7545, Earth:4664, Water:3313, Dark:8641551, Light:15522
Rune_221 created with Fire:2898, Earth:6142, Water:4988, Dark:8682603, Light:14028
Rune_222 created with Fire:3580, Earth:6654, Water:4460, Dark:8722989, Light:14694
Rune_223 created with Fire:3988, Earth:1010, Water:5762, Dark:8767309, Light:10760
Rune_224 created with Fire:5305, Earth:2710, Water:3745, Dark:8810629, Light:11760
Rune_225 created with Fire:5136, Earth:5982, Water:10012, Dark:8844579, Light:21130
Rune_226 created with Fire:5013, Earth:5859, Water:2040, Dark:8886747, Light:12912
Rune_227 created with Fire:8017, Earth:6535, Water:5157, Dark:8922118, Light:19709
Rune_228 created with Fire:2770, Earth:6029, Water:6025, Dark:8962374, Light:14824
Rune_229 created with Fire:7156, Earth:5331, Water:9316, Dark:8995651, Light:21803
Rune_230 created with Fire:5608, Earth:6801, Water:4558, Dark:9033764, Light:16967
Rune_231 created with Fire:4984, Earth:1484, Water:7054, Dark:9075322, Light:13522
Rune_232 created with Fire:4628, Earth:6532, Water:11882, Dark:9107360, Light:23042
Rune_233 created with Fire:7931, Earth:7332, Water:8155, Dark:9139022, Light:23418
Rune_234 created with Fire:2712, Earth:5349, Water:5835, Dark:9180206, Light:13896
Rune_235 created with Fire:7842, Earth:2218, Water:6844, Dark:9218382, Light:16904
Rune_236 created with Fire:5271, Earth:1871, Water:3241, Dark:9263079, Light:10383
Rune_237 created with Fire:9635, Earth:3388, Water:7588, Dark:9297548, Light:20611
Rune_238 created with Fire:847, Earth:5375, Water:4384, Dark:9342022, Light:10606
Rune_239 created with Fire:2530, Earth:9839, Water:4827, Dark:9379906, Light:17196
Rune_240 created with Fire:5924, Earth:6631, Water:3239, Dark:9419192, Light:15794
Rune_241 created with Fire:4467, Earth:7409, Water:8428, Dark:9453968, Light:20304
Rune_242 created with Fire:9584, Earth:7593, Water:4276, Dark:9487595, Light:21453
Rune_243 created with Fire:1041, Earth:6337, Water:1988, Dark:9533309, Light:9366
Rune_244 created with Fire:4188, Earth:10640, Water:7931, Dark:9565630, Light:22759
Rune_245 created with Fire:8612, Earth:6605, Water:6589, Dark:9598904, Light:21806
Rune_246 created with Fire:5098, Earth:6521, Water:7780, Dark:9634585, Light:19399
Rune_247 created with Fire:6979, Earth:6299, Water:4947, Dark:9671440, Light:18225
Rune_248 created with Fire:3343, Earth:3919, Water:3769, Dark:9715489, Light:11031
Rune_249 created with Fire:6606, Earth:5557, Water:7358, Dark:9751048, Light:19521
Rune_250 created with Fire:3204, Earth:4682, Water:5506, Dark:9792736, Light:13392
Rune_251 created with Fire:9379, Earth:6596, Water:4910, Dark:9826931, Light:20885
Rune_252 created with Fire:3790, Earth:5862, Water:6009, Dark:9866350, Light:15661
Rune_253 created with Fire:7298, Earth:6693, Water:4808, Dark:9902631, Light:18799
Rune_254 created with Fire:5467, Earth:3167, Water:4704, Dark:9944373, Light:13338
Rune_255 created with Fire:2272, Earth:5611, Water:5047, Dark:9986523, Light:12930
Rune_256 created with Fire:4121, Earth:4165, Water:6198, Dark:10027119, Light:14484
Rune_257 created with Fire:2820, Earth:5973, Water:6077, Dark:10067329, Light:14870
Rune_258 created with Fire:2809, Earth:8505, Water:6988, Dark:10104107, Light:18302
Rune_259 created with Fire:5816, Earth:7586, Water:4319, Dark:10141466, Light:17721
Rune_260 created with Fire:3253, Earth:8285, Water:5794, Dark:10179214, Light:17332
Rune_261 created with Fire:6528, Earth:3258, Water:3582, Dark:10220926, Light:13368
Rune_262 created with Fire:2526, Earth:7498, Water:4102, Dark:10261880, Light:14126
Rune_263 created with Fire:5177, Earth:1137, Water:6382, Dark:10304264, Light:12696
Rune_264 created with Fire:1429, Earth:9318, Water:2716, Dark:10345881, Light:13463
Rune_265 created with Fire:5305, Earth:4004, Water:2454, Dark:10389198, Light:11763
Rune_266 created with Fire:4006, Earth:6967, Water:10265, Dark:10423040, Light:21238
Rune_267 created with Fire:5219, Earth:4746, Water:1627, Dark:10466528, Light:11592
Rune_268 created with Fire:2782, Earth:1679, Water:3347, Dark:10513800, Light:7808
Rune_269 created with Fire:2073, Earth:2965, Water:4235, Dark:10559607, Light:9273
Rune_270 created with Fire:4582, Earth:4850, Water:6396, Dark:10598859, Light:15828
Rune_271 created with Fire:5268, Earth:5122, Water:2100, Dark:10641449, Light:12490
Rune_272 created with Fire:4262, Earth:6955, Water:6807, Dark:10678505, Light:18024
Rune_273 created with Fire:5205, Earth:5694, Water:7678, Dark:10715008, Light:18577
Rune_274 created with Fire:1988, Earth:8260, Water:8882, Dark:10750958, Light:19130
Rune_275 created with Fire:5428, Earth:4126, Water:8680, Dark:10787804, Light:18234
Rune_276 created with Fire:6989, Earth:6885, Water:3618, Dark:10825392, Light:17492
Rune_277 created with Fire:5516, Earth:2301, Water:2252, Dark:10870403, Light:10069
Rune_278 created with Fire:3399, Earth:6292, Water:6167, Dark:10909625, Light:15858
Rune_279 created with Fire:4922, Earth:7783, Water:10221, Dark:10941779, Light:22926
Rune_280 created with Fire:6918, Earth:5687, Water:4370, Dark:10979884, Light:16975
Rune_281 created with Fire:8158, Earth:3234, Water:6098, Dark:11017474, Light:17490
Rune_282 created with Fire:3496, Earth:9638, Water:5615, Dark:11053805, Light:18749
Rune_283 created with Fire:3710, Earth:2972, Water:2606, Dark:11099597, Light:9288
Rune_284 created with Fire:5273, Earth:1827, Water:5903, Dark:11141674, Light:13003
Rune_285 created with Fire:9132, Earth:3310, Water:8183, Dark:11176129, Light:20625
Rune_286 created with Fire:8702, Earth:6132, Water:5491, Dark:11210884, Light:20325
Rune_287 created with Fire:6456, Earth:4572, Water:7208, Dark:11247728, Light:18236
Rune_288 created with Fire:5537, Earth:4692, Water:4467, Dark:11288112, Light:14696
Rune_289 created with Fire:2448, Earth:4712, Water:9364, Dark:11326668, Light:16524
Rune_290 created with Fire:5858, Earth:2370, Water:5084, Dark:11368436, Light:13312
Rune_291 created with Fire:9918, Earth:5863, Water:6457, Dark:11401278, Light:22238
Rune_292 created with Fire:7995, Earth:6401, Water:6241, Dark:11435721, Light:20637
Rune_293 created with Fire:5721, Earth:7959, Water:4915, Dark:11472206, Light:18595
Rune_294 created with Fire:4380, Earth:4375, Water:6625, Dark:11511906, Light:15380
Rune_295 created with Fire:6051, Earth:5306, Water:3263, Dark:11552366, Light:14620
Rune_296 created with Fire:6425, Earth:6163, Water:9859, Dark:11584999, Light:22447
Rune_297 created with Fire:6920, Earth:5969, Water:6819, Dark:11620371, Light:19708
Rune_298 created with Fire:6872, Earth:7175, Water:7775, Dark:11653629, Light:21822
Rune_299 created with Fire:3276, Earth:5307, Water:4184, Dark:11695942, Light:12767
Rune_300 created with Fire:6639, Earth:8658, Water:5361, Dark:11730364, Light:20658
Rune_301 created with Fire:4351, Earth:6082, Water:5995, Dark:11769016, Light:16428
Rune_302 created with Fire:3120, Earth:5622, Water:2080, Dark:11813274, Light:10822
Rune_303 created with Fire:1943, Earth:2220, Water:4981, Dark:11859210, Light:9144
Rune_304 created with Fire:8793, Earth:3374, Water:6241, Dark:11895882, Light:18408
Rune_305 created with Fire:4047, Earth:6511, Water:7075, Dark:11933329, Light:17633
Rune_306 created with Fire:5531, Earth:7981, Water:3903, Dark:11970994, Light:17415
Rune_307 created with Fire:4974, Earth:6154, Water:1542, Dark:12013404, Light:12670
Rune_308 created with Fire:5610, Earth:4252, Water:4882, Dark:12053740, Light:14744
Rune_309 created with Fire:5217, Earth:6345, Water:8890, Dark:12088368, Light:20452
Rune_310 created with Fire:5802, Earth:4082, Water:5724, Dark:12127840, Light:15608
Rune_311 created with Fire:6628, Earth:8743, Water:10505, Dark:12157044, Light:25876
Rune_312 created with Fire:4554, Earth:4907, Water:5764, Dark:12196899, Light:15225
Rune_313 created with Fire:2227, Earth:3461, Water:4150, Dark:12242141, Light:9838
Rune_314 created with Fire:5091, Earth:4303, Water:5260, Dark:12282567, Light:14654
Rune_315 created with Fire:939, Earth:4504, Water:3036, Dark:12329168, Light:8479
Rune_316 created with Fire:4829, Earth:6834, Water:3556, Dark:12369029, Light:15219
Rune_317 created with Fire:2214, Earth:2440, Water:999, Dark:12418456, Light:5653
Rune_318 created with Fire:4227, Earth:7656, Water:5438, Dark:12456215, Light:17321
Rune_319 created with Fire:3745, Earth:5848, Water:7259, Dark:12494443, Light:16852
Rune_320 created with Fire:5439, Earth:1378, Water:3843, Dark:12538863, Light:10660
Rune_321 created with Fire:4762, Earth:7401, Water:2713, Dark:12579067, Light:14876
Rune_322 created with Fire:2709, Earth:5796, Water:1306, Dark:12624336, Light:9811
Rune_323 created with Fire:4459, Earth:5445, Water:6410, Dark:12663102, Light:16314
Rune_324 created with Fire:4326, Earth:751, Water:3615, Dark:12709490, Light:8692
Rune_325 created with Fire:4036, Earth:7111, Water:3259, Dark:12750164, Light:14406
Rune_326 created with Fire:6243, Earth:9522, Water:7053, Dark:12782426, Light:22818
Rune_327 created with Fire:6020, Earth:4988, Water:4790, Dark:12821708, Light:15798
Rune_328 created with Fire:10575, Earth:7677, Water:5849, Dark:12852687, Light:24101
Rune_329 created with Fire:5106, Earth:5160, Water:5190, Dark:12892311, Light:15456
